timestamp,source_ip,destination_ip,destination_port,protocol,service,username,event_type,event_status,domain,command,bytes_sent,bytes_received,severity
2026-07-14 09:00:00,192.168.1.10,172.217.160.78,443,TCP,HTTPS,ahmed,NETWORK_CONNECTION,SUCCESS,,,45231,98542,LOW
2026-07-14 09:00:05,192.168.1.11,8.8.8.8,53,UDP,DNS,fatima,DNS_QUERY,SUCCESS,google.com,,512,890,LOW
2026-07-14 09:00:10,192.168.1.12,20.190.160.15,443,TCP,HTTPS,ali,NETWORK_CONNECTION,SUCCESS,,,63541,105422,LOW
2026-07-14 09:00:15,192.168.1.13,140.82.112.4,53,UDP,DNS,jawad,DNS_QUERY,SUCCESS,github.com,,621,998,LOW
2026-07-14 09:00:20,192.168.1.14,52.96.0.1,443,TCP,HTTPS,haseeb,NETWORK_CONNECTION,SUCCESS,,,90234,154222,LOW
2026-07-14 09:00:25,192.168.1.15,13.107.42.16,53,UDP,DNS,maria,DNS_QUERY,SUCCESS,microsoft.com,,489,765,LOW
2026-07-14 09:00:30,192.168.1.16,13.107.21.200,443,TCP,HTTPS,user01,NETWORK_CONNECTION,SUCCESS,,,65431,198441,LOW
2026-07-14 09:00:35,192.168.1.17,104.16.132.229,53,UDP,DNS,user02,DNS_QUERY,SUCCESS,cloudflare.com,,510,880,LOW
2026-07-14 09:00:40,192.168.1.18,52.94.225.248,443,TCP,HTTPS,user03,NETWORK_CONNECTION,SUCCESS,,,72341,164532,LOW
2026-07-14 09:00:45,192.168.1.19,13.248.118.1,53,UDP,DNS,support,DNS_QUERY,SUCCESS,amazonaws.com,,540,812,LOW
2026-07-14 09:01:00,192.168.1.20,192.168.10.5,445,TCP,SMB,administrator,FILE_ACCESS,SUCCESS,,,40210,85321,LOW
2026-07-14 09:01:05,192.168.1.21,192.168.10.10,22,TCP,SSH,network.admin,LOGIN,SUCCESS,,,2354,4120,LOW
2026-07-14 09:01:10,192.168.1.22,192.168.10.12,3389,TCP,RDP,soc.analyst,LOGIN,SUCCESS,,,5210,9831,LOW
2026-07-14 09:01:15,192.168.1.23,192.168.10.15,25,TCP,SMTP,service_backup,NETWORK_CONNECTION,SUCCESS,,,7543,20544,LOW
2026-07-14 09:01:20,192.168.1.24,192.168.10.20,110,TCP,POP3,user01,NETWORK_CONNECTION,SUCCESS,,,11342,27890,LOW
2026-07-14 09:01:25,192.168.1.25,192.168.10.25,993,TCP,IMAPS,user02,NETWORK_CONNECTION,SUCCESS,,,14321,32641,LOW
2026-07-14 09:01:30,192.168.1.26,192.168.10.30,636,TCP,LDAPS,administrator,NETWORK_CONNECTION,SUCCESS,,,18342,41872,LOW
2026-07-14 09:01:35,192.168.1.27,192.168.10.35,389,TCP,LDAP,network.admin,NETWORK_CONNECTION,SUCCESS,,,12984,34872,LOW
2026-07-14 09:01:40,192.168.1.28,192.168.10.40,587,TCP,SMTP-SUBMISSION,maria,NETWORK_CONNECTION,SUCCESS,,,11023,29481,LOW
2026-07-14 09:01:45,192.168.1.29,192.168.10.45,123,UDP,NTP,service_backup,NETWORK_CONNECTION,SUCCESS,,,6532,15341,LOW
