timestamp,source_ip,destination_ip,destination_port,protocol,service,username,event_type,event_status,domain,command,bytes_sent,bytes_received,severity
2026-07-14T14:00:00,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:01,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:02,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:03,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:04,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:05,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:06,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:07,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:08,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:09,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:10,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:11,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:12,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:13,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:14,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:15,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:16,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:17,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:18,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:19,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:20,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:21,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:22,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:23,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:24,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:25,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:26,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:27,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:28,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:00:29,10.0.0.5,192.168.10.10,443,TCP,HTTPS,alice,NETWORK_CONNECTION,SUCCESS,,,5000,7000,LOW
2026-07-14T14:01:00,203.0.113.66,192.168.10.20,21,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:01:02,203.0.113.66,192.168.10.20,22,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:01:04,203.0.113.66,192.168.10.20,23,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:01:06,203.0.113.66,192.168.10.20,25,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:01:08,203.0.113.66,192.168.10.20,80,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:01:10,203.0.113.66,192.168.10.20,110,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:01:12,203.0.113.66,192.168.10.20,135,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:01:14,203.0.113.66,192.168.10.20,139,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:01:16,203.0.113.66,192.168.10.20,445,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:01:18,203.0.113.66,192.168.10.20,3389,TCP,VAR,attacker,NETWORK_CONNECTION,SUCCESS,,,50,0,MEDIUM
2026-07-14T14:02:00,203.0.113.66,192.168.10.20,22,TCP,SSH,admin,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T14:02:01,203.0.113.66,192.168.10.20,22,TCP,SSH,administrator,LOGIN,FAILED,,,100,100,MEDIUM
