timestamp,source_ip,destination_ip,destination_port,protocol,service,username,event_type,event_status,domain,command,bytes_sent,bytes_received,severity
2026-07-14T15:00:00,198.51.100.150,192.168.1.10,445,TCP,SMB,administrator,LOGIN,FAILED,,,120,80,MEDIUM
2026-07-14T15:00:02,198.51.100.150,192.168.1.11,445,TCP,SMB,administrator,LOGIN,FAILED,,,121,81,MEDIUM
2026-07-14T15:00:04,198.51.100.150,192.168.1.12,445,TCP,SMB,administrator,LOGIN,FAILED,,,122,82,MEDIUM
2026-07-14T15:00:06,198.51.100.150,192.168.1.13,445,TCP,SMB,administrator,LOGIN,FAILED,,,123,83,MEDIUM
2026-07-14T15:00:08,198.51.100.150,192.168.1.14,445,TCP,SMB,administrator,LOGIN,FAILED,,,124,84,MEDIUM
2026-07-14T15:00:10,198.51.100.150,192.168.1.15,445,TCP,SMB,administrator,LOGIN,FAILED,,,125,85,MEDIUM
2026-07-14T15:00:12,198.51.100.150,192.168.1.16,445,TCP,SMB,administrator,LOGIN,FAILED,,,126,86,MEDIUM
2026-07-14T15:00:14,198.51.100.150,192.168.1.17,445,TCP,SMB,administrator,LOGIN,FAILED,,,127,87,MEDIUM
2026-07-14T15:00:16,198.51.100.150,192.168.1.18,445,TCP,SMB,administrator,LOGIN,FAILED,,,128,88,MEDIUM
2026-07-14T15:00:18,198.51.100.150,192.168.1.19,445,TCP,SMB,administrator,LOGIN,FAILED,,,129,89,MEDIUM

2026-07-14T15:01:00,198.51.100.150,192.168.1.10,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM
2026-07-14T15:01:02,198.51.100.150,192.168.1.11,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM
2026-07-14T15:01:04,198.51.100.150,192.168.1.12,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM
2026-07-14T15:01:06,198.51.100.150,192.168.1.13,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM
2026-07-14T15:01:08,198.51.100.150,192.168.1.14,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM
2026-07-14T15:01:10,198.51.100.150,192.168.1.15,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM
2026-07-14T15:01:12,198.51.100.150,192.168.1.16,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM
2026-07-14T15:01:14,198.51.100.150,192.168.1.17,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM
2026-07-14T15:01:16,198.51.100.150,192.168.1.18,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM
2026-07-14T15:01:18,198.51.100.150,192.168.1.19,3389,TCP,RDP,administrator,NETWORK_CONNECTION,SUCCESS,,,5000,9000,MEDIUM

2026-07-14T15:02:00,198.51.100.150,192.168.1.20,445,TCP,SMB,alice,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T15:02:03,198.51.100.150,192.168.1.20,445,TCP,SMB,bob,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T15:02:06,198.51.100.150,192.168.1.20,445,TCP,SMB,charlie,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T15:02:09,198.51.100.150,192.168.1.20,445,TCP,SMB,david,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T15:02:12,198.51.100.150,192.168.1.20,445,TCP,SMB,eve,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T15:02:15,198.51.100.150,192.168.1.20,445,TCP,SMB,finance,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T15:02:18,198.51.100.150,192.168.1.20,445,TCP,SMB,hr,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T15:02:21,198.51.100.150,192.168.1.20,445,TCP,SMB,it,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T15:02:24,198.51.100.150,192.168.1.20,445,TCP,SMB,guest,LOGIN,FAILED,,,100,100,MEDIUM
2026-07-14T15:02:27,198.51.100.150,192.168.1.20,445,TCP,SMB,backup,LOGIN,FAILED,,,100,100,MEDIUM

2026-07-14T15:03:00,192.168.1.50,8.8.8.8,53,TCP,DNS,system,DNS_QUERY,SUCCESS,microsoft.com,,1000,2000,LOW
2026-07-14T15:03:01,192.168.1.51,8.8.8.8,53,TCP,DNS,system,DNS_QUERY,SUCCESS,google.com,,1000,2000,LOW
2026-07-14T15:03:02,192.168.1.52,8.8.8.8,53,TCP,DNS,system,DNS_QUERY,SUCCESS,cloudflare.com,,1000,2000,LOW
2026-07-14T15:03:03,192.168.1.53,443,TCP,HTTPS,user1,NETWORK_CONNECTION,SUCCESS,,,5000,6000,LOW
2026-07-14T15:03:04,192.168.1.54,80,TCP,HTTP,user2,NETWORK_CONNECTION,SUCCESS,,,5000,6000,LOW
2026-07-14T15:03:05,192.168.1.55,22,TCP,SSH,user3,LOGIN,SUCCESS,,,2000,3000,LOW
2026-07-14T15:03:06,192.168.1.56,25,TCP,SMTP,user4,NETWORK_CONNECTION,SUCCESS,,,1000,1500,LOW
2026-07-14T15:03:07,192.168.1.57,110,TCP,POP3,user5,NETWORK_CONNECTION,SUCCESS,,,1500,1200,LOW
2026-07-14T15:03:08,192.168.1.58,443,TCP,HTTPS,user6,NETWORK_CONNECTION,SUCCESS,,,1400,1800,LOW
2026-07-14T15:03:09,192.168.1.59,53,TCP,DNS,user7,DNS_QUERY,SUCCESS,github.com,,1200,1500,LOW
2026-07-14T15:03:10,192.168.1.60,3389,TCP,RDP,user8,LOGIN,SUCCESS,,,2000,2200,LOW
2026-07-14T15:03:11,192.168.1.61,445,TCP,SMB,user9,FILE_ACCESS,SUCCESS,,,5000,5500,LOW
2026-07-14T15:03:12,192.168.1.62,587,TCP,SMTP,user10,NETWORK_CONNECTION,SUCCESS,,,1100,1400,LOW
2026-07-14T15:03:13,192.168.1.63,123,UDP,NTP,user11,NETWORK_CONNECTION,SUCCESS,,,600,700,LOW
2026-07-14T15:03:14,192.168.1.64,636,TCP,LDAPS,user12,NETWORK_CONNECTION,SUCCESS,,,900,800,LOW
2026-07-14T15:03:15,192.168.1.65,993,TCP,IMAPS,user13,NETWORK_CONNECTION,SUCCESS,,,1200,1000,LOW
2026-07-14T15:03:16,192.168.1.66,3306,TCP,MYSQL,user14,NETWORK_CONNECTION,SUCCESS,,,1700,1600,LOW
2026-07-14T15:03:17,192.168.1.67,5432,TCP,POSTGRESQL,user15,NETWORK_CONNECTION,SUCCESS,,,1800,1700,LOW
2026-07-14T15:03:18,192.168.1.68,8080,TCP,HTTP-ALT,user16,NETWORK_CONNECTION,SUCCESS,,,1300,1900,LOW
2026-07-14T15:03:19,192.168.1.69,5900,TCP,VNC,user17,NETWORK_CONNECTION,SUCCESS,,,2000,2100,LOW
